23037,67510,77174
23038,76312,42757
23036,65458,20650
21097,56908,77174
23040,56907,41348
23040,56907,71780
23039,76311,71780
23039,76311,18907
7111,76311,18907
7110,67391,42432
23042,67391,42432
23042,67391,18907
23041,46771,42432
23041,46771,41348
7109,46771,42432
7109,46771,41348
23043,13674,90073
17566,67390,90073
23645,22155,77425
23646,30537,77425
16203,30537,77425
16205,22155,77425
10938,97482,70745
24050,101660,70745
24076,91460,67887
10922,1587,67887
17545,95235,72427
17545,95235,6167
24075,91459,6167
24075,91459,39303
17569,77380,39303
17569,77380,92005
17568,80644,72427
7086,90676,14481
24074,40661,14481
15395,31187,63932
15395,31187,66771
15394,54663,66771
15394,54663,90604
24392,79338,90604
24392,79338,30127
15396,60991,30127
15396,60991,63932
17563,102212,24940
17564,2044,24940
17564,2044,37266
17565,43707,37266
15399,69576,11116
15399,69576,9015
15398,85094,9015
15398,85094,70552
15372,9902,70552
15372,9902,97557
10935,9902,97557
10935,9902,70552
15371,53829,97557
15371,53829,11116
10934,53829,97557
10934,53829,11116
6935,55106,74114
21095,74000,74114
7105,81510,62507
7105,81510,53562
6936,82364,53562
7106,12325,62507
6937,12326,35696
6937,12326,85769
17562,35359,35696
17562,35359,13859
17561,53579,85769
17561,53579,49297
6938,2045,13859
6938,2045,49297
6939,73660,53847
6939,73660,20822
10932,33090,20822
10932,33090,33519
6940,5273,40935
6940,5273,33519
16202,33089,64274
6930,90926,64274
6930,90926,5891
16201,74153,5891
21094,26827,10573
21094,26827,21050
17812,49644,21050
17812,49644,43101
17813,27177,10573
17813,27177,64706
17814,52278,64706
17814,52278,43101
7103,27178,87694
7103,27178,98329
17815,52279,38052
17815,52279,87694
7104,73592,38052
7104,73592,8723
17816,53487,8723
17816,53487,98329
17818,53486,66397
17818,53486,16385
17817,38783,16385
17817,38783,10683
17560,60906,10683
17560,60906,1773
17559,95665,1773
17559,95665,66397
17819,79763,55110
10931,79763,55110
17820,95150,55110
17820,95150,29494
10930,95794,30828
10930,95794,29494
23648,49883,61660
23648,49883,19357
11980,49883,19357
23649,101550,19357
23649,101550,90642
11977,101550,19357
11977,101550,90642
11978,27368,90642
11978,27368,94892
23650,27368,90642
23650,27368,94892
11979,16768,61660
11979,16768,94892
23651,16768,61660
23651,16768,94892
11983,29821,951
11983,29821,38455
2215,29821,951
2215,29821,38455
2208,81863,74962
2208,81863,951
11982,70875,74962
11982,70875,49304
2190,70875,74962
2190,70875,49304
11981,6207,38455
11981,6207,49304
2202,6207,38455
2202,6207,49304
23026,27343,28153
23026,27343,8862
11976,27343,28153
11976,27343,8862
23027,12406,8862
23027,12406,19981
11973,12406,8862
11973,12406,19981
11974,35270,19981
11974,35270,53132
23028,35270,19981
23028,35270,53132
2088,27369,53132
2088,27369,28153
23029,27369,53132
23029,27369,28153
23030,5846,66230
23030,5846,66835
23031,27009,66835
23031,27009,74140
24340,20590,74140
24340,20590,55493
24339,36649,55493
24339,36649,66230
1964,102332,97093
1958,20589,97093
1958,20589,7256
1938,76381,7256
15376,68815,23577
15376,68815,16607
2019,68815,23577
11969,68815,16607
15374,12407,16607
15374,12407,26047
11972,12407,16607
11972,12407,26047
11970,93399,48742
11970,93399,23577
15377,93399,23577
15377,93399,48742
11971,35271,26047
11971,35271,48742
15378,35271,48742
15378,35271,26047
15375,62513,57392
17265,68814,57392
17264,68996,86062
17264,68996,54954
17263,74154,54954
17263,74154,50659
6931,10481,57709
6931,10481,50659
6932,37585,57709
6932,37585,86062
6635,37586,60020
6635,37586,75207
11968,37586,60020
11968,37586,75207
6636,10482,61323
6636,10482,75207
11965,10482,61323
11965,10482,75207
11966,12862,88469
8147,12862,88469
11966,12862,61323
8147,12862,61323
11967,44292,88469
11967,44292,60020
8148,44292,60020
8148,44292,88469
1884,12861,97721
1884,12861,60348
1898,44291,97721
1898,44291,34661
1879,78053,60348
1879,78053,44509
1885,76382,34661
1885,76382,44509
1886,84390,43631
1886,84390,57355
17795,83202,57355
17795,83202,35961
11962,83202,57355
11962,83202,35961
